materia,grupo,hora,dia,aula,profesor
8542,C|4|54|||20251~S1,09,J,F28,P000081
8542,C|4|54|||20251~S1,18,V,F28,P000081
8542,C|4|54|||20251~S1,19,V,F28,P000081
7542,C|4|54|||20251~S2,14,M,E37,P000077
7542,C|4|54|||20251~S2,09,J,E37,P000077
7542,C|4|54|||20251~S2,09,V,E37,P000077
8543,C|4|54|||20251~S2,17,L,LM2,P000077
8543,C|4|54|||20251~S2,19,L,LM2,P000077
8543,C|4|54|||20251~S2,15,M,LM2,P000077
8543,C|4|54|||20251~S2,13,X,LM2,P000077
2544,C|4|54|||20251~S2,07,X,E19,P000005
2544,C|4|54|||20251~S2,16,X,E19,P000005
2544,C|4|54|||20251~S2,17,V,E19,P000005
7546,C|4|54|||20251~S2,14,X,U21,P000066
7546,C|4|54|||20251~S2,19,X,U21,P000066
7546,C|4|54|||20251~S2,20,V,U21,P000066
4544,C|4|54|||20251~S2,12,L,E23,P000031
4544,C|4|54|||20251~S2,08,M,E23,P000031
4544,C|4|54|||20251~S2,13,J,E23,P000031
5544,C|4|54|||20251~S2,20,M,G23,P000051
5544,C|4|54|||20251~S2,12,V,G23,P000051
5544,C|4|54|||20251~S2,14,V,G23,P000051
1541,C|4|54|||20251~S2,11,M,T12,P000071
1541,C|4|54|||20251~S2,10,X,T12,P000071
1541,C|4|54|||20251~S2,18,V,T12,P000071
1543,C|4|54|||20251~S2,13,M,E28,P000054
1543,C|4|54|||20251~S2,19,M,E28,P000054
1543,C|4|54|||20251~S2,10,J,E28,P000054
1546,C|4|54|||20251~S2,17,M,E26,P000002
1546,C|4|54|||20251~S2,11,X,E26,P000002
1546,C|4|54|||20251~S2,17,J,E26,P000002
2543,C|4|54|||20251~S2,09,L,X13,P000108
2543,C|4|54|||20251~S2,11,V,X13,P000108
2543,C|4|54|||20251~S2,16,V,X13,P000108
2546,C|4|54|||20251~S2,15,X,E28,P000056
2546,C|4|54|||20251~S2,20,X,E28,P000056
2546,C|4|54|||20251~S2,20,J,E28,P000056
3542,C|4|54|||20251~S2,09,M,E37,P000075
3542,C|4|54|||20251~S2,10,M,E37,P000075
3542,C|4|54|||20251~S2,07,J,E37,P000075
3545,C|4|54|||20251~S2,13,L,E37,P000100
3545,C|4|54|||20251~S2,07,M,E37,P000100
3545,C|4|54|||20251~S2,12,X,E37,P000100
4545,C|4|54|||20251~S2,15,L,E28,P000073
4545,C|4|54|||20251~S2,16,J,E28,P000073
4545,C|4|54|||20251~S2,19,V,E28,P000073
4547,C|4|54|||20251~S2,21,X,E37,P000002
4547,C|4|54|||20251~S2,18,J,E37,P000002
4547,C|4|54|||20251~S2,13,V,E37,P000002
5542,C|4|54|||20251~S2,12,J,U11,P000005
5542,C|4|54|||20251~S2,14,J,U11,P000005
5542,C|4|54|||20251~S2,15,V,U11,P000005
5545,C|4|54|||20251~S2,08,L,F25,P000078
5545,C|4|54|||20251~S2,16,M,F25,P000078
5545,C|4|54|||20251~S2,21,J,F25,P000078
5547,C|4|54|||20251~S2,09,X,E23,P000103
5547,C|4|54|||20251~S2,19,J,E23,P000103
5547,C|4|54|||20251~S2,08,V,E23,P000103
6542,C|4|54|||20251~S2,14,L,E32,P000065
6542,C|4|54|||20251~S2,18,M,E32,P000065
6542,C|4|54|||20251~S2,18,X,E32,P000065
6546,C|4|54|||20251~S2,12,M,Z21,P000064
6546,C|4|54|||20251~S2,17,X,Z21,P000064
6546,C|4|54|||20251~S2,21,V,Z21,P000064
7541,C|4|54|||20251~S2,20,L,G21,P000090
7541,C|4|54|||20251~S2,08,X,G21,P000090
7541,C|4|54|||20251~S2,08,J,G21,P000090
2541,D|4|54|||20251~S1,10,M,E28,P000002
2541,D|4|54|||20251~S1,16,M,E28,P000002
2541,D|4|54|||20251~S1,16,V,E28,P000002
2547,D|4|54|||20251~S1,16,X,Y13,P000004
2547,D|4|54|||20251~S1,10,J,Y13,P000004
2547,D|4|54|||20251~S1,19,V,Y13,P000004
5545,D|4|54|||20251~S1,10,X,X12,P000078
5545,D|4|54|||20251~S1,17,X,X12,P000078
5545,D|4|54|||20251~S1,12,V,X12,P000078
9541,D|4|54|||20251~S1,11,M,E31,P000010
2542,D|4|54|||20251~S1,20,L,A11,P000062
2542,D|4|54|||20251~S1,16,J,A11,P000062
2542,D|4|54|||20251~S1,20,V,A11,P000062
2545,D|4|54|||20251~S1,10,L,E28,P000027
2545,D|4|54|||20251~S1,07,X,E28,P000027
2545,D|4|54|||20251~S1,14,V,E28,P000027
3542,D|4|54|||20251~S1,15,L,F20,P000075
3542,D|4|54|||20251~S1,17,M,F20,P000075
3542,D|4|54|||20251~S1,21,M,F20,P000075
3545,D|4|54|||20251~S1,11,X,F36,P000059
3545,D|4|54|||20251~S1,13,X,F36,P000059
3545,D|4|54|||20251~S1,17,J,F36,P000059
4542,D|4|54|||20251~S1,21,L,E33,P000118
4542,D|4|54|||20251~S1,18,J,E33,P000118
4542,D|4|54|||20251~S1,10,V,E33,P000118
4544,D|4|54|||20251~S1,08,X,2A1,P000004
4544,D|4|54|||20251~S1,12,J,2A1,P000004
4544,D|4|54|||20251~S1,19,J,2A1,P000004
4546,D|4|54|||20251~S1,14,L,E31,P000064
4546,D|4|54|||20251~S1,18,M,E31,P000064
4546,D|4|54|||20251~S1,11,V,E31,P000064
5542,D|4|54|||20251~S1,09,M,E25,P000037
5542,D|4|54|||20251~S1,15,X,E25,P000037
5542,D|4|54|||20251~S1,14,J,E25,P000037
5544,D|4|54|||20251~S1,12,L,E33,P000051
5544,D|4|54|||20251~S1,08,M,E33,P000051
5544,D|4|54|||20251~S1,08,V,E33,P000051
5547,D|4|54|||20251~S1,08,L,Z23,P000103
5547,D|4|54|||20251~S1,12,X,Z23,P000103
5547,D|4|54|||20251~S1,19,X,Z23,P000103
6543,D|4|54|||20251~S1,13,M,E33,P000112
6543,D|4|54|||20251~S1,09,J,E33,P000112
6543,D|4|54|||20251~S1,11,J,E33,P000112
6545,D|4|54|||20251~S1,21,J,E15,P000112
6545,D|4|54|||20251~S1,07,V,E15,P000112
6545,D|4|54|||20251~S1,15,V,E15,P000112
7541,D|4|54|||20251~S1,07,M,E12,P000007
7541,D|4|54|||20251~S1,21,X,E12,P000007
7541,D|4|54|||20251~S1,09,V,E12,P000007
7546,D|4|54|||20251~S1,13,L,E17,P000048
7546,D|4|54|||20251~S1,19,L,E17,P000048
7546,D|4|54|||20251~S1,18,V,E17,P000048
7543,D|4|54|||20251~S2,07,L,V11,P000098
7543,D|4|54|||20251~S2,21,L,V11,P000098
7543,D|4|54|||20251~S2,12,V,V11,P000098
7543,D|4|54|||20251~S2,19,V,V11,P000098
8543,D|4|54|||20251~S2,14,L,CIM,P000077
8543,D|4|54|||20251~S2,11,M,CIM,P000077
8543,D|4|54|||20251~S2,20,X,CIM,P000077
8543,D|4|54|||20251~S2,19,J,CIM,P000077
1542,D|4|54|||20251~S2,16,L,Y13,P000055
1542,D|4|54|||20251~S2,12,X,Y13,P000055
1542,D|4|54|||20251~S2,13,V,Y13,P000055
2543,D|4|54|||20251~S2,15,L,E33,P000110
2543,D|4|54|||20251~S2,08,X,E33,P000110
2543,D|4|54|||20251~S2,13,J,E33,P000110
2546,D|4|54|||20251~S2,18,L,F3A,P000079
2546,D|4|54|||20251~S2,07,X,F3A,P000079
2546,D|4|54|||20251~S2,15,J,F3A,P000079
